ESTE,NORTE
473929.9687,9529261.943
473932.1469,9529261.943
473932.1469,9529263.032
473933.236,9529263.032
473933.236,9529267.388
473934.3251,9529267.388
473934.3251,9529270.655
473935.4142,9529270.655
473935.4142,9529278.279
473936.5033,9529278.279
473936.5033,9529285.457
473936.5033,9529287.635
473936.5033,9529293.725
473935.4142,9529293.725
473935.4142,9529298.526
473935.4142,9529304.616
473934.3251,9529304.616
473934.3251,9529307.883
473933.236,9529307.883
473933.236,9529310.952
473935.8597,9529310.952
473948.4834,9529310.952
473948.4834,9529312.041
473955.018,9529312.041
473955.018,9529313.13
473961.5526,9529313.13
473961.5526,9529314.219
473973.5327,9529314.219
473973.5327,9529326.398
473972.4436,9529326.398
473972.4436,9529327.487
473971.3545,9529327.487
473971.3545,9529328.576
473969.1763,9529328.576
473969.1763,9529329.665
473968.0872,9529329.665
473968.0872,9529330.754
473966.9981,9529330.754
473966.9981,9529331.843
473965.909,9529331.843
473965.909,9529332.932
473964.8199,9529332.932
473964.8199,9529334.021
473963.7308,9529334.021
473963.7308,9529335.11
473962.6417,9529335.11
473962.6417,9529336.199
473961.5526,9529336.199
473961.5526,9529337.289
473960.4635,9529337.289
473960.4635,9529338.378
473959.3744,9529338.378
473959.3744,9529339.467
473958.2853,9529339.467
473958.2853,9529340.556
473957.1962,9529340.556
473957.1962,9529341.645
473956.1071,9529341.645
473956.1071,9529342.734
473955.018,9529342.734
473955.018,9529343.823
473953.9289,9529343.823
473953.9289,9529344.912
473952.8398,9529344.912
473952.8398,9529346.001
473951.7507,9529346.001
473951.7507,9529347.09
473950.6616,9529347.09
473950.6616,9529348.18
473949.5725,9529348.18
473949.5725,9529349.269
473948.4834,9529349.269
473948.4834,9529350.358
473947.3943,9529350.358
473947.3943,9529351.249
473953.9289,9529351.249
473953.9289,9529352.338
473960.4635,9529352.338
473960.4635,9529353.427
473970.2654,9529353.427
473970.2654,9529354.516
473972.4436,9529354.516
473972.4436,9529366.694
473971.3545,9529366.694
473971.3545,9529371.051
473970.2654,9529371.051
473970.2654,9529376.496
473969.1763,9529376.496
473969.1763,9529380.853
473968.0872,9529380.853
473968.0872,9529386.298
473966.9981,9529386.298
473966.9981,9529390.654
473965.909,9529390.654
473965.909,9529393.922
473964.8199,9529393.922
473964.8199,9529399.367
473963.7308,9529399.367
473963.7308,9529403.724
473962.6417,9529403.724
473962.6417,9529408.08
473961.5526,9529408.08
473961.5526,9529412.436
473960.4635,9529412.436
473960.4635,9529418.971
473959.3744,9529418.971
